"filename", "language", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Docente.html", "HTML", -179, 0, 0, -34, -213
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Inicio.html", "HTML", -50, 0, 0, -4, -54
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Login.html", "HTML", -261, 0, 0, -37, -298
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practica.html", "HTML", -131, 0, 0, -16, -147
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_1.html", "HTML", -450, 0, 0, -26, -476
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_2.html", "HTML", -425, 0, 0, -22, -447
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_3.html", "HTML", -437, 0, 0, -19, -456
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_4.html", "HTML", -479, 0, 0, -24, -503
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\indicadores.html", "HTML", -280, 0, 0, -23, -303
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\logros.html", "HTML", -205, 0, 0, -22, -227
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\package.json", "JSON", 0, -12, 0, -1, -13
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\record.html", "HTML", -204, 0, 0, -34, -238
"Total", "-", -3101, -12, 0, -262, -3375
