"filename", "language", "Properties", "JavaScript JSX", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\Estudiante.js", "JavaScript", 0, 0, 9, 0, 0, -1, 5, 13
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\Lugares.js", "JavaScript", 0, 0, 99, 0, 0, 1, 10, 110
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\authController.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\notas.js", "JavaScript", 0, 0, 74, 0, 0, 0, 7, 81
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\user.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\Estudiante.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\Lugares.js", "JavaScript", 0, 0, 55, 0, 0, 0, 7, 62
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\notas.js", "JavaScript", 0, 0, 55, 0, 0, 5, 7, 67
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\Lugares.js", "JavaScript", 0, 0, 68, 0, 0, 0, 4, 72
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\notas.js", "JavaScript", 0, 0, 135, 0, 0, 0, 6, 141
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\user.model.js", "JavaScript", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\service\authService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\Practicas.js", "JavaScript", 0, 0, 10, 0, 0, 0, 6, 16
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\PracticasIV.js", "JavaScript", 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\lugares.js", "JavaScript", 0, 0, 17, 0, 0, 80, 8, 105
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\babel.config.cjs", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 1, 2, 3
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\package-lock.json", "JSON", 0, 0, 0, 6997, 0, 0, 0, 6997
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\App.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 3, 5
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\Hooks\RegistrarEstudiante.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 5, 12, 58
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\Hooks\api.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 5, 37
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\Hooks\ejemplo.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\Mui\AppMui.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\components\Alerts\alert.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 5, 37
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\components\Avatar\avatarname.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 9, 40
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\components\card.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 5, 38
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Mainlayout.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Notas\PracticaI.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Notas\RegistrarNotas.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 7, 33
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Notas\components\FormComponentA.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 5, 74
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Notas\components\FormComponentB.jsx", "JavaScript JSX", 0, 80, 0, 0, 0, 0, 7, 87
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Notas\components\cardPracticas.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 4, 45
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Notas\components\datatable.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 1, 11, 74
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Notas\components\modal.jsx", "JavaScript JSX", 0, 138, 0, 0, 0, 0, 11, 149
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\crear\components\TablaEstufiante.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 8, 13
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\crear\main.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\dashboard\main.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 2, 4, 17
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\docentes\components\formRegistro.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, -4, -8, 2
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\docentes\components\formRegistro.test.js", "JavaScript", 0, 0, 66, 0, 0, 2, 22, 90
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\docentes\main.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\home\main.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 2, 2, 17
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\authentication\components\Alerts\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\authentication\sign-in\main.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\authentication\sign-up\components\formRegistro.jsx", "JavaScript JSX", 0, 163, 0, 0, 0, 0, 18, 181
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\main.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\routes.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\validaciones\ValidarUsuario.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\validaciones\ValidarUsuario.test.jsx", "JavaScript JSX", 0, 77, 0, 0, 0, 0, 12, 89
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\validaciones\validarEstudiante.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 8, 55
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\validaciones\validarEstudiante.test.jsx", "JavaScript JSX", 0, 80, 0, 0, 0, 0, 18, 98
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\test\ejemplo.test.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\andre\OneDrive\Documents\Entrega Final\sonar-project.properties", "Properties", 3, 0, 0, 0, 0, 10, 4, 17
"Total", "-", 3, 1066, 630, 7025, 0, 104, 262, 9090
