"filename", "language", "Properties", "JavaScript JSX", "JavaScript", "JSON", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\.env", "Properties", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\package-lock.json", "JSON", 0, 0, 0, 1895, 0, 0, 0, 0, 0, 1, 1896
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\Docente.js", "JavaScript", 0, 0, 99, 0, 0, 0, 0, 0, 1, 11, 111
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\Estudiante.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 15, 123
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\Grupo.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 7, 96
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\Lugares.js", "JavaScript", 0, 0, 99, 0, 0, 0, 0, 0, 1, 10, 110
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\authController.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 7, 110
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\notas.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 7, 81
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\controllers\user.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 1, 7, 105
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\Docente.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\Estudiante.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\Grupo.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\Lugares.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\notas.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 5, 7, 67
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\sequelize.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\user.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 7, 97
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\index.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 2, 8, 37
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\middleware\checkAuth.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\Docente.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\Estudiante.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 1, 8, 61
